date,state,number_of_iclaims,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,state_code,POPESTIMATE2019,name,description,latitude,longitude,Stay At Home Order Date,Emergency Declaration Date
2020-04-11,NM,,1091.0,26007.0,,75.0,,,,18.0,,235.0,2020-04-11T20:00:00Z,19.0,,27098.0,27098.0,27098.0,35,0.0,0.0,0.0,0.0,0.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-04-10,NM,,1091.0,26007.0,,73.0,,,,18.0,,217.0,2020-04-10T20:00:00Z,19.0,,27098.0,27098.0,27098.0,35,3.0,0.0,3065.0,226.0,3291.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-04-09,NM,,865.0,22942.0,,59.0,,,,18.0,,201.0,2020-04-09T20:00:00Z,16.0,,23807.0,23807.0,23807.0,35,3.0,0.0,1491.0,71.0,1562.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-04-08,NM,,794.0,21451.0,,51.0,,,,18.0,,171.0,2020-04-08T20:00:00Z,13.0,,22245.0,22245.0,22245.0,35,1.0,0.0,312.0,108.0,420.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-04-07,NM,,686.0,21139.0,,48.0,,,,18.0,,133.0,2020-04-07T20:00:00Z,12.0,,21825.0,21825.0,21825.0,35,0.0,0.0,2627.0,62.0,2689.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-04-06,NM,,624.0,18512.0,,45.0,,,,18.0,,130.0,2020-04-06T20:00:00Z,12.0,,19136.0,19136.0,19136.0,35,1.0,0.0,2227.0,81.0,2308.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-04-05,NM,,543.0,16285.0,,37.0,,,,18.0,,54.0,2020-04-05T20:00:00Z,11.0,,16828.0,16828.0,16828.0,35,1.0,0.0,1148.0,48.0,1196.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-04-04,NM,,495.0,15137.0,,41.0,,,,18.0,,26.0,2020-04-04T20:00:00Z,10.0,,15632.0,15632.0,15632.0,35,3.0,0.0,762.0,92.0,854.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-04-03,NM,,403.0,14375.0,,31.0,,,,,,26.0,2020-04-03T20:00:00Z,7.0,,14778.0,14778.0,14778.0,35,1.0,0.0,727.0,40.0,767.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-04-02,NM,,363.0,13648.0,,31.0,,,,,,26.0,2020-04-02T20:00:00Z,6.0,,14011.0,14011.0,14011.0,35,1.0,0.0,723.0,48.0,771.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-04-01,NM,,315.0,12925.0,,24.0,,,,,,26.0,2020-04-01T20:00:00Z,5.0,,13240.0,13240.0,13240.0,35,1.0,0.0,679.0,34.0,713.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-31,NM,,281.0,12246.0,,22.0,,,,,,26.0,2020-03-31T20:00:00Z,4.0,,12527.0,12527.0,12527.0,35,2.0,0.0,1304.0,44.0,1348.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-30,NM,,237.0,10942.0,,22.0,,,,,,26.0,2020-03-30T20:00:00Z,2.0,,11179.0,11179.0,11179.0,35,0.0,0.0,173.0,0.0,173.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-29,NM,,237.0,10769.0,,19.0,,,,,,2.0,2020-03-29T20:00:00Z,2.0,,11006.0,11006.0,11006.0,35,1.0,0.0,1573.0,46.0,1619.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-27,NM,,136.0,8377.0,,,,,,,,,2020-03-27T20:00:00Z,1.0,,8513.0,8513.0,8513.0,35,0.0,0.0,696.0,24.0,720.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-26,NM,,112.0,7681.0,,,,,,,,,2020-03-26T20:00:00Z,1.0,,7793.0,7793.0,7793.0,35,0.0,0.0,939.0,12.0,951.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-25,NM,,100.0,6742.0,,,,,,,,,2020-03-25T20:00:00Z,1.0,,6842.0,6842.0,6842.0,35,1.0,0.0,852.0,17.0,869.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-24,NM,,83.0,5890.0,,,,,,,,,2020-03-24T20:00:00Z,,,5973.0,5973.0,5973.0,35,0.0,0.0,569.0,18.0,587.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-23,NM,,65.0,5321.0,,,,,,,,,2020-03-23T20:00:00Z,,,5386.0,5386.0,5386.0,35,0.0,0.0,599.0,8.0,607.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-22,NM,,57.0,4722.0,,,,,,,,,2020-03-22T20:00:00Z,,,4779.0,4779.0,4779.0,35,0.0,0.0,951.0,0.0,951.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-20,NM,,43.0,3771.0,,,,,,,,,2020-03-20T20:00:00Z,,,3814.0,3814.0,3814.0,35,0.0,0.0,1009.0,8.0,1017.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-19,NM,,35.0,2762.0,,,,,,,,,2020-03-19T20:00:00Z,,,2797.0,2797.0,2797.0,35,0.0,0.0,436.0,7.0,443.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-18,NM,,28.0,2326.0,,,,,,,,,2020-03-18T20:00:00Z,,,2354.0,2354.0,2354.0,35,0.0,0.0,1077.0,5.0,1082.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-17,NM,,23.0,1249.0,,,,,,,,,2020-03-17T20:00:00Z,,,1272.0,1272.0,1272.0,35,0.0,0.0,683.0,6.0,689.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-16,NM,,17.0,566.0,,,,,,,,,2020-03-16T20:00:00Z,,,583.0,583.0,583.0,35,0.0,0.0,84.0,4.0,88.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-15,NM,,13.0,482.0,,,,,,,,,2020-03-15T20:00:00Z,,,495.0,495.0,495.0,35,0.0,0.0,245.0,3.0,248.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-13,NM,,10.0,190.0,,,,,,,,,2020-03-13T20:00:00Z,,,200.0,200.0,200.0,35,0.0,0.0,35.0,5.0,40.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-12,NM,,5.0,155.0,,,,,,,,,2020-03-12T20:00:00Z,,,160.0,160.0,160.0,35,0.0,0.0,68.0,2.0,70.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-11,NM,,3.0,87.0,,,,,,,,,2020-03-11T20:00:00Z,,,90.0,90.0,90.0,35,0.0,0.0,18.0,3.0,21.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-10,NM,,0.0,69.0,,,,,,,,,2020-03-10T20:00:00Z,,,69.0,69.0,69.0,35,0.0,0.0,12.0,0.0,12.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-09,NM,,0.0,57.0,0.0,,,,,,,,2020-03-09T20:00:00Z,,,57.0,57.0,57.0,35,0.0,0.0,9.0,0.0,9.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-08,NM,,0.0,48.0,0.0,,,,,,,,2020-03-08T20:00:00Z,,,48.0,48.0,48.0,35,0.0,0.0,0.0,0.0,0.0,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-06,NM,,0.0,16.0,0.0,,,,,,,,2020-03-06T21:00:00Z,,,16.0,16.0,16.0,35,,,,,,NM,2096829.0,New Mexico,Santa Fe,35.68224,-105.939728,2020-03-23,2020-03-11
2020-03-07,NY,14035,76.0,92.0,236.0,,,,,,,,2020-03-07T21:00:00Z,,,404.0,168.0,168.0,36,0.0,0.0,0.0,43.0,43.0,NY,19453561.0,New York,Albany,42.652843,-73.757874,2020-03-20,2020-03-07
2020-03-14,NY,14272,524.0,2779.0,,,,,,,,,2020-03-14T20:00:00Z,,,3303.0,3303.0,3303.0,36,0.0,0.0,0.0,103.0,103.0,NY,19453561.0,New York,Albany,42.652843,-73.757874,2020-03-20,2020-03-07
2020-03-21,NY,79999,10356.0,35081.0,,,1603.0,,,,,,2020-03-21T20:00:00Z,44.0,1603.0,45437.0,45437.0,45437.0,36,9.0,1603.0,9756.0,3254.0,13010.0,NY,19453561.0,New York,Albany,42.652843,-73.757874,2020-03-20,2020-03-07
2020-03-28,NY,366595,52318.0,103616.0,,7328.0,10054.0,1755.0,,,,2726.0,2020-03-28T20:00:00Z,728.0,10054.0,155934.0,155934.0,155934.0,36,209.0,1528.0,2498.0,7683.0,10181.0,NY,19453561.0,New York,Albany,42.652843,-73.757874,2020-03-20,2020-03-07
2020-04-14,NY,,202208.0,296935.0,,18697.0,46201.0,5225.0,,,,23887.0,2020-04-14T20:00:00Z,10834.0,46201.0,499143.0,499143.0,499143.0,36,778.0,3489.0,13609.0,7177.0,20786.0,NY,19453561.0,New York,Albany,42.652843,-73.757874,2020-03-20,2020-03-07
2020-04-13,NY,,195031.0,283326.0,,18825.0,42712.0,5156.0,,,,23887.0,2020-04-13T20:00:00Z,10056.0,42712.0,478357.0,478357.0,478357.0,36,671.0,118.0,10419.0,6337.0,16756.0,NY,19453561.0,New York,Albany,42.652843,-73.757874,2020-03-20,2020-03-07
2020-04-12,NY,,188694.0,272907.0,,18707.0,42594.0,5198.0,,,,23887.0,2020-04-12T20:00:00Z,9385.0,42594.0,461601.0,461601.0,461601.0,36,758.0,1915.0,12385.0,8236.0,20621.0,NY,19453561.0,New York,Albany,42.652843,-73.757874,2020-03-20,2020-03-07
2020-04-11,NY,,180458.0,260522.0,,18654.0,40679.0,5009.0,,,,22025.0,2020-04-11T20:00:00Z,8627.0,40679.0,440980.0,440980.0,440980.0,36,783.0,1861.0,13149.0,9946.0,23095.0,NY,19453561.0,New York,Albany,42.652843,-73.757874,2020-03-20,2020-03-07
2020-04-10,NY,,170512.0,247373.0,,18569.0,38818.0,4908.0,,,,20249.0,2020-04-10T20:00:00Z,7844.0,38818.0,417885.0,417885.0,417885.0,36,777.0,2242.0,15761.0,10575.0,26336.0,NY,19453561.0,New York,Albany,42.652843,-73.757874,2020-03-20,2020-03-07
2020-04-09,NY,,159937.0,231612.0,,18279.0,36576.0,4925.0,,,,18297.0,2020-04-09T20:00:00Z,7067.0,36576.0,391549.0,391549.0,391549.0,36,799.0,2144.0,15775.0,10621.0,26396.0,NY,19453561.0,New York,Albany,42.652843,-73.757874,2020-03-20,2020-03-07
2020-04-08,NY,,149316.0,215837.0,,18079.0,34432.0,4593.0,,,,16353.0,2020-04-08T20:00:00Z,6268.0,34432.0,365153.0,365153.0,365153.0,36,779.0,2349.0,14642.0,10453.0,25095.0,NY,19453561.0,New York,Albany,42.652843,-73.757874,2020-03-20,2020-03-07
2020-04-07,NY,,138863.0,201195.0,,17493.0,32083.0,4593.0,,,,14590.0,2020-04-07T20:00:00Z,5489.0,32083.0,340058.0,340058.0,340058.0,36,731.0,1880.0,11073.0,8174.0,19247.0,NY,19453561.0,New York,Albany,42.652843,-73.757874,2020-03-20,2020-03-07
2020-04-06,NY,,130689.0,190122.0,,16837.0,30203.0,4504.0,,,,13366.0,2020-04-06T20:00:00Z,4758.0,30203.0,320811.0,320811.0,320811.0,36,599.0,2111.0,9873.0,8658.0,18531.0,NY,19453561.0,New York,Albany,42.652843,-73.757874,2020-03-20,2020-03-07
2020-04-05,NY,,122031.0,180249.0,,16479.0,28092.0,4376.0,,,,12187.0,2020-04-05T20:00:00Z,4159.0,28092.0,302280.0,302280.0,302280.0,36,594.0,1709.0,10332.0,8327.0,18659.0,NY,19453561.0,New York,Albany,42.652843,-73.757874,2020-03-20,2020-03-07
2020-04-04,NY,,113704.0,169917.0,,15905.0,26383.0,4126.0,,,,10478.0,2020-04-04T20:00:00Z,3565.0,26383.0,283621.0,283621.0,283621.0,36,630.0,2687.0,12260.0,10841.0,23101.0,NY,19453561.0,New York,Albany,42.652843,-73.757874,2020-03-20,2020-03-07
2020-04-03,NY,,102863.0,157657.0,,14810.0,23696.0,3731.0,,,,8886.0,2020-04-03T20:00:00Z,2935.0,23696.0,260520.0,260520.0,260520.0,36,562.0,2879.0,11073.0,10482.0,21555.0,NY,19453561.0,New York,Albany,42.652843,-73.757874,2020-03-20,2020-03-07
